,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
195,,0.01,50,320,8,0.7109375,0.7402597402597403,0.75,0.6363636363636364,0.6883116883116883,0.7402597402597403,0.6883116883116883,0.7532467532467533,0.7792207792207793,0.6883116883116883,0.6447368421052632,0.046019238879795366,0.8698750495910644,500.52617583274844,0.1650444507598877,ITML+kNN,pima-indians-diabetes
196,,0.01,250,40,8,0.7161458333333334,0.7532467532467533,0.7894736842105263,0.6493506493506493,0.7272727272727273,0.7272727272727273,0.6753246753246753,0.7142857142857143,0.7662337662337663,0.6883116883116883,0.6710526315789473,0.04295278238668018,0.8743131875991821,500.6644362449646,0.16576933860778809,ITML+kNN,pima-indians-diabetes
197,,0.01,250,80,8,0.7083333333333334,0.7402597402597403,0.7236842105263158,0.6363636363636364,0.6753246753246753,0.7402597402597403,0.7012987012987013,0.7402597402597403,0.7662337662337663,0.6883116883116883,0.6710526315789473,0.03841275784560449,0.8787513256072998,500.8632479667664,0.16650166511535644,ITML+kNN,pima-indians-diabetes
198,,0.01,250,160,8,0.7135416666666666,0.7272727272727273,0.7763157894736842,0.6363636363636364,0.6753246753246753,0.7662337662337663,0.6883116883116883,0.7402597402597403,0.7662337662337663,0.7012987012987013,0.6578947368421053,0.046578870133667835,0.8831894636154175,501.2817049741745,0.16722557544708253,ITML+kNN,pima-indians-diabetes
199,,0.01,250,320,8,0.7083333333333334,0.7532467532467533,0.7631578947368421,0.5974025974025974,0.6883116883116883,0.7532467532467533,0.6623376623376623,0.7272727272727273,0.7662337662337663,0.7142857142857143,0.6578947368421053,0.053059308897666954,0.8876276016235352,502.00761156082154,0.167950439453125,ITML+kNN,pima-indians-diabetes
200,,0.01,500,40,8,0.7096354166666666,0.7532467532467533,0.75,0.6623376623376623,0.6753246753246753,0.7272727272727273,0.6493506493506493,0.7402597402597403,0.7662337662337663,0.7012987012987013,0.6710526315789473,0.040731112361065636,0.8920657396316528,502.1469725370407,0.16867713928222655,ITML+kNN,pima-indians-diabetes
201,,0.01,500,80,8,0.7122395833333334,0.7662337662337663,0.7763157894736842,0.6623376623376623,0.6753246753246753,0.7532467532467533,0.6623376623376623,0.7402597402597403,0.7402597402597403,0.7012987012987013,0.6447368421052632,0.04614370487885614,0.8965038776397705,502.37851068973544,0.16943032741546632,ITML+kNN,pima-indians-diabetes
202,,0.01,500,160,8,0.70703125,0.7402597402597403,0.75,0.6103896103896104,0.6753246753246753,0.7272727272727273,0.7142857142857143,0.7402597402597403,0.7662337662337663,0.7012987012987013,0.6447368421052632,0.047201931786400586,0.9009420156478882,502.78149526119233,0.17018678188323974,ITML+kNN,pima-indians-diabetes
203,,0.01,500,320,8,0.7200520833333334,0.7402597402597403,0.7763157894736842,0.6493506493506493,0.7142857142857143,0.7532467532467533,0.6753246753246753,0.7272727272727273,0.7792207792207793,0.7272727272727273,0.6578947368421053,0.04379163167996786,0.9053801536560059,503.54970474243163,0.1709221839904785,ITML+kNN,pima-indians-diabetes
204,,0.01,1000,40,8,0.7174479166666666,0.7402597402597403,0.7236842105263158,0.6753246753246753,0.6753246753246753,0.7662337662337663,0.7402597402597403,0.7272727272727273,0.7532467532467533,0.7012987012987013,0.6710526315789473,0.03286307963510426,0.9098182916641235,503.6945269584656,0.1716562271118164,ITML+kNN,pima-indians-diabetes
205,,0.01,1000,80,8,0.7161458333333334,0.7792207792207793,0.75,0.6493506493506493,0.6753246753246753,0.7662337662337663,0.6493506493506493,0.7402597402597403,0.7792207792207793,0.7012987012987013,0.6710526315789473,0.05003666247759276,0.9142564296722412,503.92528676986694,0.1723857641220093,ITML+kNN,pima-indians-diabetes
206,,0.01,1000,160,8,0.7135416666666666,0.7662337662337663,0.7631578947368421,0.6103896103896104,0.6883116883116883,0.7662337662337663,0.6753246753246753,0.7272727272727273,0.7792207792207793,0.6883116883116883,0.6710526315789473,0.05262725401889193,0.9186945676803588,504.33764853477476,0.17311615943908693,ITML+kNN,pima-indians-diabetes
207,,0.01,1000,320,8,0.7083333333333334,0.7662337662337663,0.7368421052631579,0.6233766233766234,0.6753246753246753,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.7792207792207793,0.7402597402597403,0.6578947368421053,0.04605350341635725,0.9231327056884766,504.9998826265335,0.17384836673736573,ITML+kNN,pima-indians-diabetes
208,,0.1,50,40,8,0.7096354166666666,0.7272727272727273,0.7368421052631579,0.6363636363636364,0.6883116883116883,0.7402597402597403,0.7142857142857143,0.7142857142857143,0.7662337662337663,0.7012987012987013,0.6710526315789473,0.035520890557774625,0.9275708436965943,505.15714540481565,0.17457780838012696,ITML+kNN,pima-indians-diabetes
209,,0.1,50,80,8,0.7109375,0.7532467532467533,0.7368421052631579,0.6363636363636364,0.7012987012987013,0.7272727272727273,0.7402597402597403,0.7142857142857143,0.7792207792207793,0.6753246753246753,0.6447368421052632,0.044234050511176196,0.9320089817047119,505.59579875469205,0.17530829906463624,ITML+kNN,pima-indians-diabetes
210,,0.1,50,160,8,0.69921875,0.7532467532467533,0.6973684210526315,0.6363636363636364,0.6883116883116883,0.7402597402597403,0.7142857142857143,0.7142857142857143,0.7532467532467533,0.6493506493506493,0.6447368421052632,0.04183855306659317,0.9364471197128296,506.3135566711426,0.17604434490203857,ITML+kNN,pima-indians-diabetes
211,,0.1,50,320,8,0.7083333333333334,0.7532467532467533,0.7236842105263158,0.6623376623376623,0.7012987012987013,0.7272727272727273,0.7272727272727273,0.7142857142857143,0.7532467532467533,0.6883116883116883,0.631578947368421,0.03671517175758303,0.9408852577209472,508.3466263055801,0.17677786350250244,ITML+kNN,pima-indians-diabetes
212,,0.1,250,40,8,0.7174479166666666,0.7012987012987013,0.7894736842105263,0.6753246753246753,0.6883116883116883,0.7272727272727273,0.7662337662337663,0.7272727272727273,0.7792207792207793,0.6623376623376623,0.6578947368421053,0.045874299798267563,0.945323395729065,508.4741585016251,0.17751245498657225,ITML+kNN,pima-indians-diabetes
