,cmaesfme__s__n_gen,cmaesfme__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
38,250,full,,64,0.8864,0.873015873015873,0.8666666666666667,0.9047619047619048,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9206349206349206,0.8852459016393442,0.017203848230969924,0.16215720176696777,2062.8939888715745,0.04270703792572021,0.8892444444444444,0.8701067615658363,0.8884955752212389,0.9039145907473309,0.8896797153024911,0.896797153024911,0.8843416370106761,0.895017793594306,0.8825622775800712,0.8932384341637011,0.8882978723404256,0.008707044008082638,CMAESFme+kNN,balance-scale
39,250,diagonal,,64,0.7936,0.8253968253968254,0.85,0.8253968253968254,0.7777777777777778,0.8412698412698413,0.7777777777777778,0.8412698412698413,0.7301587301587301,0.746031746031746,0.7213114754098361,0.04664943535839415,0.16631507873535156,2091.5369347572328,0.04333386421203613,0.8048,0.7811387900355872,0.8938053097345132,0.8291814946619217,0.7740213523131673,0.7882562277580071,0.8167259786476868,0.8345195729537367,0.7455516014234875,0.7669039145907474,0.8173758865248227,0.04053069300547155,CMAESFme+kNN,balance-scale
40,500,full,,64,0.8896,0.8888888888888888,0.8833333333333333,0.873015873015873,0.9047619047619048,0.8888888888888888,0.873015873015873,0.873015873015873,0.9047619047619048,0.9206349206349206,0.8852459016393442,0.015189649076601138,0.17047295570373536,2226.2334370851518,0.043947243690490724,0.8826666666666667,0.8754448398576512,0.8814159292035398,0.8736654804270463,0.8825622775800712,0.8807829181494662,0.8825622775800712,0.8843416370106761,0.8985765124555161,0.8790035587188612,0.8882978723404256,0.006628486411075354,CMAESFme+kNN,balance-scale
41,500,diagonal,,64,0.7904,0.873015873015873,0.7333333333333333,0.7936507936507936,0.9047619047619048,0.873015873015873,0.6984126984126984,0.7777777777777778,0.7301587301587301,0.7619047619047619,0.7540983606557377,0.06661446318774505,0.17463083267211915,2283.853255701065,0.04457590579986572,0.8168888888888889,0.8629893238434164,0.8053097345132744,0.8220640569395018,0.8985765124555161,0.8861209964412812,0.7437722419928826,0.7829181494661922,0.7615658362989324,0.7935943060498221,0.8120567375886525,0.04886588158751644,CMAESFme+kNN,balance-scale
42,100,full,,128,0.8768,0.8888888888888888,0.8666666666666667,0.8888888888888888,0.8571428571428571,0.8253968253968254,0.8888888888888888,0.873015873015873,0.873015873015873,0.8888888888888888,0.9180327868852459,0.023333779496196114,0.17878870964050292,2310.124489736557,0.045189642906188966,0.8766222222222222,0.8825622775800712,0.879646017699115,0.8843416370106761,0.8718861209964412,0.8861209964412812,0.8665480427046264,0.8825622775800712,0.8790035587188612,0.8772241992882562,0.8563829787234043,0.008769877328126575,CMAESFme+kNN,balance-scale
43,100,diagonal,,128,0.7568,0.8095238095238095,0.7,0.746031746031746,0.7936507936507936,0.6984126984126984,0.7936507936507936,0.8412698412698413,0.7142857142857143,0.8888888888888888,0.5737704918032787,0.08492919254735176,0.1829465866088867,2321.5107807159425,0.04582643508911133,0.7772444444444444,0.7633451957295374,0.7592920353982301,0.7366548042704626,0.7597864768683275,0.7615658362989324,0.7900355871886121,0.806049822064057,0.7669039145907474,0.8772241992882562,0.75177304964539,0.03802449987121991,CMAESFme+kNN,balance-scale
44,250,full,,128,0.8752,0.873015873015873,0.8666666666666667,0.9047619047619048,0.8888888888888888,0.8412698412698413,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9047619047619048,0.8360655737704918,0.023229518339009842,0.1871044635772705,2389.1587396860123,0.04644286632537842,0.8776888888888889,0.8594306049822064,0.8778761061946903,0.8896797153024911,0.8807829181494662,0.8790035587188612,0.8718861209964412,0.8843416370106761,0.8790035587188612,0.8736654804270463,0.8812056737588653,0.007724612457594931,CMAESFme+kNN,balance-scale
45,250,diagonal,,128,0.7824,0.7936507936507936,0.85,0.7619047619047619,0.7777777777777778,0.8253968253968254,0.746031746031746,0.8253968253968254,0.7936507936507936,0.746031746031746,0.7049180327868853,0.04196485649847103,0.1912623405456543,2417.8016855716705,0.047071075439453124,0.7779555555555555,0.7544483985765125,0.8849557522123894,0.7846975088967971,0.7562277580071174,0.7704626334519573,0.7740213523131673,0.7793594306049823,0.7402135231316725,0.7544483985765125,0.7801418439716312,0.03817665008317919,CMAESFme+kNN,balance-scale
46,500,full,,128,0.888,0.8888888888888888,0.8833333333333333,0.873015873015873,0.9047619047619048,0.8888888888888888,0.873015873015873,0.873015873015873,0.9047619047619048,0.9206349206349206,0.8688524590163934,0.0164025930230261,0.1954202175140381,2552.4981878995895,0.04768705368041992,0.8755555555555555,0.8754448398576512,0.8761061946902655,0.8701067615658363,0.8754448398576512,0.8754448398576512,0.8736654804270463,0.8825622775800712,0.8754448398576512,0.8718861209964412,0.8794326241134752,0.0033347340427223294,CMAESFme+kNN,balance-scale
47,500,diagonal,,128,0.7648,0.8412698412698413,0.7166666666666667,0.7777777777777778,0.8888888888888888,0.8412698412698413,0.6825396825396826,0.7619047619047619,0.7142857142857143,0.7301587301587301,0.6885245901639344,0.06776513512829989,0.19957809448242186,2610.118006515503,0.048319029808044436,0.7909333333333334,0.7953736654804271,0.7876106194690266,0.791814946619217,0.8879003558718861,0.8487544483985765,0.7473309608540926,0.7669039145907474,0.7508896797153025,0.7615658362989324,0.7712765957446809,0.0425538829228529,CMAESFme+kNN,balance-scale
